name,iataCode,icaoCode,country,city,latitude,longitude,type
Afutara Aerodrome,AFT,AGAF,SB,Bila,-9.191389,160.948611,small_airport
Ulawa Airport,RNA,AGAR,SB,Arona,-9.86054358262,161.979546547,small_airport
Uru Harbour Airport,ATD,AGAT,SB,Atoifi,-8.87333,161.011002,small_airport
Barakoma Airport,VEV,AGBA,SB,Barakoma,-7.912779808044434,156.70599365234375,small_airport
Batuna Aerodrome,BPF,AGBT,SB,Batuna Mission Station,-8.56202777778,158.119305556,small_airport
Geva Airport,GEF,AGEV,SB,Liangia,-7.575829982757568,156.5970001220703,small_airport
Gwaunaru'u Airport,AKS,AGGA,SB,Auki,-8.70257,160.682007,small_airport
Bellona/Anua Airport,BNY,AGGB,SB,Anua,-11.3022222222,159.798333333,small_airport
Choiseul Bay Airport,CHY,AGGC,SB,Choiseul Bay,-6.711944,156.396111,small_airport
Ballalae Airport,BAS,AGGE,SB,Ballalae,-6.990745,155.886656,small_airport
Fera/Maringe Airport,FRE,AGGF,SB,Fera Island,-8.1075,159.576996,small_airport
Honiara International Airport,HIR,AGGH,SB,Honiara,-9.428,160.054993,large_airport
Babanakira Airport,MBU,AGGI,SB,Mbambanakira,-9.7475,159.839005,small_airport
Avu Avu Airport,AVU,AGGJ,SB,Avu Avu,-9.868333,160.410556,small_airport
Ngorangora Airport,IRA,AGGK,SB,Kirakira,-10.4497003555,161.897994995,small_airport
Santa Cruz/Graciosa Bay/Luova Airport,SCZ,AGGL,SB,Santa Cruz/Graciosa Bay/Luova,-10.7203,165.794998,small_airport
Munda Airport,MUA,AGGM,SB,Munda,-8.32797,157.263,medium_airport
Nusatupe Airport,GZO,AGGN,SB,Gizo,-8.09778022766,156.863998413,small_airport
Mono Airport,MNY,AGGO,SB,Stirling Island,-7.416940212249756,155.56500244140625,small_airport
Parasi Airport,PRS,AGGP,SB,Parasi,-9.64167022705078,161.4250030517578,small_airport
Rennell/Tingoa Airport,RNL,AGGR,SB,Rennell Island,-11.55,160.062778,small_airport
Sege Airport,EGM,AGGS,SB,Sege,-8.57889,157.876007,small_airport
Santa Ana Airport,NNB,AGGT,SB,Santa Ana Island,-10.847994,162.454108,small_airport
Marau Airport,RUS,AGGU,SB,Marau,-9.86166954041,160.824996948,small_airport
Suavanao Airport,VAO,AGGV,SB,Suavanao,-7.58556,158.731003,small_airport
Yandina Airport,XYA,AGGY,SB,Yandina,-9.092816,159.21841,small_airport
Kaghau Airport,KGE,AGKG,SB,Kagau Island,-7.3305,157.585,small_airport
Kukudu Airport,KUE,AGKU,SB,Kolombangara Island,-8.0262,156.94783,small_airport
Kwailabesi Airport,KWS,AGKW,SB,Kwailabesi,-8.360508,160.775127,small_airport
Lomlom Airport,LLM,AGLM,SB,Lomlom,-10.296828,166.327322,small_airport
Nana Airport,NAZ,AGNA,SB,Star Harbor,-10.6758,162.2049,small_airport
Manaoba Airport,MHM,AGOB,SB,Manaoba,-8.325008,160.80051,small_airport
Gatokae Aerodrome,GTA,AGOK,SB,Gatokae,-8.738358,158.202836,small_airport
Ringi Cove Airport,RIN,AGRC,SB,Ringi Cove,-8.12639045715332,157.14300537109375,small_airport
Ramata Airport,RBV,AGRM,SB,Ramata,-8.168060302734375,157.64300537109375,small_airport
Nauru International Airport,INU,ANYN,NR,Yaren District,-0.547458,166.919006,medium_airport
Mount Aue Airport,UAE,AYAE,PG,Aue,-6.229978,144.664181,small_airport
Afore Airstrip,AFR,AYAF,PG,Afore,-9.13867,148.390701,small_airport
Agaun Airport,AUP,AYAG,PG,Agaun,-9.927715,149.389951,small_airport
Aitape Airport,ATP,AYAI,PG,Aitape,-3.143611,142.346806,small_airport
Aiambak Airport,AIH,AYAK,PG,Aiambak,-7.342777777779999,141.2675,small_airport
Amanab Airport,AMU,AYAM,PG,Amanab,-3.586,141.214333333,small_airport
Andakombe Airport,ADC,AYAN,PG,Andekombe,-7.13722222222,145.744722222,small_airport
Aiome Airport,AIE,AYAO,PG,Aiome,-5.145699978,144.7307003,small_airport
Ambunti Airport,AUJ,AYAT,PG,Ambunti,-4.21566666667,142.823166667,small_airport
Awaba Airport,AWB,AYAW,PG,Awaba,-8.013414,142.752099,small_airport
Aseki Airport,AEK,AYAX,PG,Aseki,-7.350805,146.193994,small_airport
Aiyura Airport,AYU,AYAY,PG,Aiyura Valley,-6.33805555556,145.904166667,small_airport
Baimuru Airport,VMU,AYBA,PG,Baimuru,-7.49686002731,144.819900513,medium_airport
Bambu Airport,BCP,AYBC,PG,Bambu,-5.863611111110001,146.4925,small_airport
Bodinumu Airport,BNM,AYBD,PG,Bodinumu,-9.10777777778,147.666722222,small_airport
Bamu Airport,BMZ,AYBF,PG,Bamu,-7.8485,143.2433,small_airport
Bensbach Airport,BSP,AYBH,PG,Bensbach,-8.85805555556,141.259444444,small_airport
Bewani Airport,BWP,AYBI,PG,Bewani,-3.0216666666700003,141.165277778,small_airport
Buka Airport,BUA,AYBK,PG,Buka Island,-5.422319889068604,154.67300415039062,medium_airport
Bialla Airport,BAA,AYBL,PG,"Bialla, Matalilu, Ewase",-5.3305602073700005,151.007995605,small_airport
Balimo Airport,OPU,AYBM,PG,Balimo,-8.05000019073,142.932998657,medium_airport
Bomai Airport,BMH,AYBO,PG,Bomai,-6.37316666667,144.637,small_airport
Bapi Airstrip,BPD,AYBP,PG,Bapi,-7.743611111110001,147.020555556,small_airport
Biangabip Airport,BPK,AYBQ,PG,Biangabip,-5.526389,141.744583,small_airport
Biaru Airport,BRP,AYBR,PG,Biaru,-7.6693,146.7594,small_airport
Bulolo Airport,BUL,AYBU,PG,Bulolo,-7.216286671410001,146.649541855,small_airport
Biniguni Airport,XBN,AYBZ,PG,Biniguni,-9.6425,149.303889,small_airport
Chungribu Airport,CVB,AYCB,PG,Chungribu,-4.80662,144.714996,small_airport
Cape Gloucester Airport,CGC,AYCG,PG,Cape Gloucester,-5.455231,148.422289,small_airport
Chimbu Airport,CMU,AYCH,PG,Kundiawa,-6.024290084838867,144.9709930419922,medium_airport
China Strait Airstrip,SQT,AYCS,PG,Samarai Island,-10.5627777778,150.690694444,small_airport
Debepare Airport,DBP,AYDB,PG,Debepare,-6.30861111111,141.905555556,small_airport
Derim Airport,DER,AYDE,PG,Derim,-6.14472222222,147.107222222,small_airport
Bundi Airport,BNT,AYDI,PG,Bundi,-5.742222222220001,145.2275,small_airport
Munduku Airport,MDM,AYDK,PG,Munduku,-4.6204,143.4516,small_airport
Kondobol Airport,KPF,AYDL,PG,Kondobol,-8.5336,142.5049,small_airport
Dinangat Airport,DNU,AYDN,PG,Dinangat,-6.1546,146.6772,small_airport
Doini Airport,DOI,AYDO,PG,Castori Islets,-10.7009,150.7218,small_airport
Dorobisoro Airport,DOO,AYDR,PG,Dorobisoro,-9.461855,147.920907,small_airport
Daru Airport,DAU,AYDU,PG,Daru,-9.08676,143.207993,medium_airport
Kerau Airport,KRU,AYEA,PG,Gunim,-8.271612,147.071899,small_airport
Embessa Airport,EMS,AYEB,PG,Embessa,-9.447,148.7628,small_airport
Edwaki Airport,XYR,AYED,PG,Yellow River Mission,-3.883986,141.792234,small_airport
Emirau Airport,EMI,AYEE,PG,Emirau Island,-1.653949991,149.9757667,small_airport
Efogi Airport,EFG,AYEF,PG,Efogi,-9.15380555556,147.659805556,small_airport
Morehead Airport,MHY,AYEH,PG,Morehead,-8.71411111111,141.644444444,small_airport
Eliptamin Airport,EPT,AYEL,PG,Eliptamin,-5.0412,141.6779,small_airport
Engati Airstrip,EGA,AYEN,PG,Engati,-6.9179,146.1053,small_airport
Emo River Airstrip,EMO,AYEO,PG,Emo Mission,-9.1234,148.0415,small_airport
Erume Airport,ERU,AYER,PG,Erume,-8.2538,146.9747,small_airport
Bosset Airport,BOT,AYET,PG,Bosset,-7.237257,141.1063222,small_airport
Erave Airport,ERE,AYEV,PG,Erave,-6.60646315446,143.900213242,small_airport
Siwea Airport,SWE,AYEW,PG,Siwea,-6.284181,147.582371,small_airport
Fane Airport,FNE,AYFA,PG,Fane Mission,-8.54927777778,147.085833333,small_airport
Finschhafen Airport,FIN,AYFI,PG,Buki,-6.621750109,147.85405,small_airport
Frieda River Airport,FAQ,AYFR,PG,Frieda River,-4.610468,141.960138,small_airport
Fuma Airport,FUM,AYFU,PG,Fuma,-6.3933,142.4408,small_airport
Goroka Airport,GKA,AYGA,PG,Goronka,-6.081689834590001,145.391998291,medium_airport
Gewoia Airport,GEW,AYGC,PG,Gewoia,-9.2263,148.4949,small_airport
Guari Airport,GUG,AYGF,PG,Guari,-8.1286,146.8722,small_airport
Garasa Airport,GRL,AYGG,PG,Au,-7.980713,147.213461,small_airport
Garaina Airport,GAR,AYGI,PG,Garaina,-7.875625,147.141266,small_airport
Guasopa Airport,GAZ,AYGJ,PG,Woodlark (Muyua) Island,-9.225918,152.944352,small_airport
Gonaili Airport,GOE,AYGL,PG,Gonaili,-5.527716614,151.5733333,small_airport
Gurney Airport,GUR,AYGN,PG,Gurney,-10.3114995956,150.333999634,medium_airport
Gusap Airport,GAP,AYGP,PG,Gusap,-6.053196,145.959047,small_airport
Girua Airport,PNP,AYGR,PG,Popondetta,-8.80453968048,148.309005737,medium_airport
Gasuke Airport,GBC,AYGS,PG,Gasuke,-6.1028,141.7393,small_airport
Gasmata Island Airport,GMI,AYGT,PG,Gasmata Island,-6.27111005783,150.330993652,small_airport
Anguganak Airport,AKG,AYGU,PG,Anguganak,-3.560504,142.217307,small_airport
Green River Airport,GVI,AYGV,PG,Green River,-3.90224289894,141.170516968,small_airport
Gora Airstrip,GOC,AYGX,PG,Gora,-9.0021,148.2364,small_airport
Habi Airport,HBD,AYHB,PG,Habi,-6.32,142.4893,small_airport
Heiweni Airport,HNI,AYHE,PG,Heiweni,-7.4223,146.4276,small_airport
Hayfields Airport,HYF,AYHF,PG,Bainyik,-3.69838,143.057902,small_airport
Honinabi Airport,HNN,AYHH,PG,Honinabi,-6.2457,142.1771,small_airport
Hoskins Airport,HKN,AYHK,PG,Kimbe,-5.463846,150.407327,medium_airport
Haivaro Airport,HIT,AYHO,PG,Haivaro,-6.9406,143.059,small_airport
Hawabango Airport,HWA,AYHU,PG,Hawabango,-7.392994,146.003487,small_airport
Nissan Island Airport,IIS,AYIA,PG,Nissan Island,-4.49972009659,154.225997925,small_airport
Indagen Airport,IDN,AYID,PG,Indagen,-6.22663,147.244,small_airport
Imane Airport,IMN,AYII,PG,Imane,-6.7524,146.1072,small_airport
Kungim Airport,KGM,AYIM,PG,Kungim,-5.671,141.03,small_airport
Imonda Airport,IMD,AYIO,PG,Imonda,-3.328,141.1573,small_airport
Aropa Airport,KIE,AYIQ,PG,Kieta,-6.305417,155.728139,small_airport
Wasua Airport,WSA,AYIW,PG,Wasua,-8.2836,142.8697,small_airport
Witu Airport,WIU,AYIX,PG,Garove Island,-4.689522,149.440112,small_airport
Miyanmin Airport,MPX,AYIY,PG,Miyanmin,-4.903055555560001,141.620833333,small_airport
Yongai Airport,KGH,AYJO,PG,Yongai,-8.5289,147.4603,small_airport
Josephstaal Airport,JOP,AYJS,PG,Josephstaal,-4.74708333333,145.007083333,small_airport
Losuia Airport,LSA,AYKA,PG,Losuia,-8.505820274353027,151.08099365234375,small_airport
Kandrian Airport,KDR,AYKC,PG,Kandrian,-6.19217,149.54783,small_airport
Kamina Airport,KMF,AYKD,PG,Hoieti,-7.64925,145.956944444,small_airport
Kopiago Airport,KPA,AYKG,PG,Kopiago,-5.3883,142.4977,small_airport
Kamulai Airport,KAQ,AYKH,PG,Kamulai Mission,-8.150694444440001,146.834,small_airport
Kiunga Airport,UNG,AYKI,PG,Kiunga,-6.1257100105285645,141.28199768066406,small_airport
Kanainj Airport,KNE,AYKJ,PG,Kanainj,-5.2903,144.7072,small_airport
Kikori Airport,KRI,AYKK,PG,Kikori,-7.42438,144.250076,small_airport
Kerema Airport,KMA,AYKM,PG,Kerema,-7.96361017227,145.770996094,medium_airport
Kokoda Airport,KKD,AYKO,PG,Kokoda,-8.884679,147.730957,small_airport
Kagi Airport,KGW,AYKQ,PG,Kagi,-9.13591666667,147.669444444,small_airport
Kar Kar Airport,KRX,AYKR,PG,Kar Kar Island,-4.557,145.9404,small_airport
Kaintiba Airport,KZF,AYKT,PG,Kaintiba,-7.50025,146.033833333,small_airport
Kuri Airport,KUQ,AYKU,PG,Kuri,-7.135083,143.276111,small_airport
Kavieng Airport,KVG,AYKV,PG,Kavieng,-2.57940006256,150.807998657,medium_airport
Kawito Airport,KWO,AYKW,PG,Kawito,-7.977006912229999,142.823577881,small_airport
Londolovit Airport,LNV,AYKY,PG,Londolovit,-3.04361009598,152.628997803,small_airport
Lab Lab Airport,LAB,AYLB,PG,Lab Lab Mission,-5.7204,148.0566,small_airport
Keglsugl Airport,KEG,AYLG,PG,Denglagu Mission,-5.83277777778,145.097222222,small_airport
Kibuli Airstrip,KII,AYLI,PG,Kibuli,-9.006528,142.698056,small_airport
Linga Linga Airport,LGN,AYLL,PG,Linga Linga,-5.5319444444400006,149.734166667,small_airport
Lowai Airport,LWI,AYLO,PG,Lowai,-6.3344,146.6458,small_airport
Leron Plains Airport,LPN,AYLP,PG,Leron Plains,-6.3917,146.3434,small_airport
Lese Airport,LNG,AYLS,PG,Lese,-8.2799,146.2765,small_airport
Lumi Airport,LMI,AYLU,PG,Lumi,-3.47683951134,142.041292191,small_airport
Long Island Airport,LSJ,AYLX,PG,Long Island,-5.3604,147.0177,small_airport
Manari Airport,MRM,AYMA,PG,Manari,-9.1908,147.6219,small_airport
Morobe Airport,OBM,AYMB,PG,Morobe,-7.74,147.59,small_airport
Menyamya Airport,MYX,AYMC,PG,Menyamya,-7.21166666667,146.019361111,small_airport
Madang Airport,MAG,AYMD,PG,Madang,-5.20707988739,145.789001465,medium_airport
Mount Hagen Kagamuga Airport,HGU,AYMH,PG,Mount Hagen,-5.828212,144.299412,medium_airport
Mindik Airport,MXK,AYMI,PG,Mindik,-6.47166666667,147.441138889,small_airport
Makini Airport,MPG,AYMJ,PG,Makini,-6.532222222220001,147.651166667,small_airport
Mougulu Airport,GUV,AYML,PG,Mougulu,-6.280859,142.420775,small_airport
Mendi Airport,MDU,AYMN,PG,Mendi,-6.14774,143.656998,medium_airport
Momote Airport,MAS,AYMO,PG,Manus Island,-2.06189,147.423996,medium_airport
Malalaua Airport,MLQ,AYMP,PG,Malalaua,-8.07138888889,146.155472222,small_airport
Malam Airport,MQO,AYMQ,PG,Malam,-8.70916666667,142.649722222,small_airport
Moro Airport,MXH,AYMR,PG,Moro,-6.36332988739,143.238006592,small_airport
Misima Island Airport,MIS,AYMS,PG,Misima Island,-10.6892004013,152.837997437,small_airport
Malekolon Airport,MKN,AYMV,PG,Babase Island,-4.02343055556,153.657277778,small_airport
Marawaka Airport,MWG,AYMW,PG,Marawaka,-6.9736,145.8849,small_airport
Mapua(Mabua) Airport,MPU,AYMZ,PG,Tatau Island,-2.81138888889,151.991111111,small_airport
Nankina Airport,NKN,AYNA,PG,Gwarawon,-5.837,146.4533,small_airport
Kanabea Airport,KEX,AYNB,PG,Kanabea,-7.538888888890001,145.905,small_airport
Nadunumu Airport,NDN,AYNC,PG,Nadunumu,-9.14355555556,147.68425,small_airport
Aua Island Airport,AUI,AYND,PG,Aua Island,-1.46055555556,143.064722222,small_airport
Negarbo(Negabo) Airport,GBF,AYNE,PG,Negarbo,-6.567778,144.703058,small_airport
Nuguria Airstrip,NUG,AYNI,PG,Nuguria Island,-3.4075,154.7383,small_airport
Namudi Airport,NDI,AYNJ,PG,Namudi,-9.47375,148.329416667,small_airport
Kasonombe Airport,KSB,AYNM,PG,Kasonombe,-6.3819,146.9859,small_airport
Kandep Airport,KDP,AYNN,PG,Kandep,-5.84061111111,143.507222222,small_airport
Nomane Airport,NMN,AYNO,PG,Namane,-6.32183,145.070667,small_airport
Bunsil Airport,BXZ,AYNS,PG,Bunsil - Umboi Island,-5.7243,147.8667,small_airport
Nuku Airport,UKU,AYNU,PG,Nuku,-3.676651,142.484334,small_airport
Namatanai Airport,ATN,AYNX,PG,Namatanai,-3.6695,152.438,small_airport
Nambaiyufa Airport,NBA,AYNY,PG,Nambaiyufa,-6.2412,145.2424,small_airport
Nadzab Airport,LAE,AYNZ,PG,Lae,-6.569803,146.725977,medium_airport
Obo Airport,OBX,AYOB,PG,Obo,-7.590622421369999,141.324262619,small_airport
Konge Airport,KGB,AYOE,PG,Konge,-6.2239,147.2152,small_airport
Okao Airport,OKV,AYOF,PG,Okao,-5.55666666667,141.032777778,small_airport
Oksapmin Airport,OKP,AYOJ,PG,Oksapmin,-5.2261,142.2259,small_airport
Komako Airport,HOC,AYOK,PG,Komako,-7.3984,145.8827,small_airport
Kol Airport,KQL,AYOL,PG,Kol,-5.73116666667,144.846,small_airport
Omora Airport,OSE,AYOM,PG,Omora,-7.82777777778,147.080638889,small_airport
Komo-Manda Airport,KOM,AYOO,PG,Komo,-6.0682,142.8598,small_airport
Kosipe Airport,KSP,AYOP,PG,Kosipe Mission,-8.450716,147.209195,small_airport
Komaio Airport,KCJ,AYOQ,PG,Komaio,-7.2714,143.5952,small_airport
Olsobip Airport,OLQ,AYOV,PG,Olsobip,-5.3897222222200005,141.515277778,small_airport
Koroba Airport,KDE,AYOW,PG,Koroba,-5.6952,142.7441,small_airport
Paiela Airport,PLE,AYPB,PG,Paiela,-5.372407,142.975774,small_airport
Pangoa Airport,PGB,AYPC,PG,Pangoa,-7.0226,141.5605,small_airport
Pindiu Airport,PDI,AYPD,PG,Pindiu,-6.445138888890001,147.515833333,small_airport
April River Airport,APR,AYPE,PG,April River,-4.67666666667,142.540138889,small_airport
Pangia Airport,PGN,AYPG,PG,Pangia,-6.386,144.1084,small_airport
Pimaga Airport,PMP,AYPJ,PG,Pimaga,-6.49916666667,143.510277778,small_airport
Mapoda Airport,MPF,AYPO,PG,Mapoda,-7.979,143.1694,small_airport
Pumani Airport,PMN,AYPQ,PG,Pumani,-9.7469,149.4766,small_airport
Port Moresby Jacksons International Airport,POM,AYPY,PG,Port Moresby,-9.44338035583496,147.22000122070312,large_airport
Karawari Airstrip,KRJ,AYQA,PG,Amboin,-4.59666666667,143.5225,small_airport
Tumolbil Airport,TLP,AYQL,PG,Tumolbil,-4.7748,141.0133,small_airport
Sopu Airport,SPH,AYQO,PG,Sopu,-8.3038,147.1659,small_airport
Ononge Airport,ONB,AYQQ,PG,Onange Mission,-8.67436111111,147.262416667,small_airport
Sialum Airport,SXA,AYQS,PG,Sialum,-6.0908,147.5955,small_airport
Kira Airport,KIQ,AYRA,PG,Kira,-8.065111111110001,147.332027778,small_airport
Raba Raba Airport,RBP,AYRE,PG,Rabaraba,-9.97111111111,149.832222222,small_airport
Karimui Airport,KMR,AYRI,PG,Karimui,-6.4921,144.823,small_airport
Kairuku Airport,RKU,AYRK,PG,Yule Island,-8.817000054,146.5243833,small_airport
Maramuni Airport,MWI,AYRM,PG,Maramuni,-5.13,143.4829,small_airport
Kakoro(Koroko) Airstrip,KOR,AYRO,PG,Kakoro,-7.83466666667,146.5335,small_airport
Saidor Airport,SDI,AYSD,PG,Saidor,-5.62713888889,146.462777778,small_airport
Simberi Airport,NIS,AYSE,PG,Simberi Island,-2.66222222222,151.997777778,small_airport
Safia Airport,SFU,AYSF,PG,Safia,-9.59305555556,148.636111111,small_airport
Sila Airport,SIL,AYSG,PG,Sila Mission,-9.07355555556,148.38925,small_airport
Sabah Airport,SBV,AYSH,PG,Sabah,-5.5765,155.0489,small_airport
Simbai Airport,SIM,AYSJ,PG,Simbai,-5.278611111110001,144.544722222,small_airport
Sengapi Airstrip,SGK,AYSK,PG,Sengapi,-5.12583333333,144.323611111,small_airport
Sehulea Airport,SXH,AYSL,PG,Sehulea,-9.96452777778,151.161861111,small_airport
Selbang Airport,SBC,AYSO,PG,Selbang,-5.315,141.752,small_airport
Sapmanga Airport,SMH,AYSP,PG,Sapmanga,-6.075277777779999,146.811111111,small_airport
Sasereme Airport,TDS,AYSS,PG,Sasereme,-7.6217,142.868,small_airport
Suki Airport,SKC,AYSU,PG,Suki,-8.0466,141.7222,small_airport
Sauren Airport,SXW,AYSV,PG,Sauren,-5.9701,148.8543,small_airport
Satwag Airport,SWG,AYSW,PG,Satwag,-6.13955555556,147.279166667,small_airport
Masa Airport,MBV,AYSX,PG,Masa,-6.345,147.591,small_airport
Tari Airport,TIZ,AYTA,PG,Tari,-5.845,142.947998,small_airport
Tabubil Airport,TBG,AYTB,PG,Tabubil,-5.280471,141.227576,small_airport
Telefomin Airport,TFM,AYTE,PG,Telefomin,-5.12608,141.641922,small_airport
Tetebedi Airport,TDB,AYTF,PG,Tetebedi,-9.1586,148.0686,small_airport
Tagula Airport,TGL,AYTG,PG,Sudest Island,-11.3311111111,153.202916667,small_airport
Tifalmin Airport,TFB,AYTH,PG,Tifalmin,-5.117249,141.418076,small_airport
Tapini Airport,TPI,AYTI,PG,Tapini,-8.35666666667,146.989166667,small_airport
Tokua Airport,RAB,AYTK,PG,Kokopo,-4.34046,152.380005,medium_airport
Tekin Airport,TKW,AYTN,PG,Tekin,-5.243667,142.165194,small_airport
Kamberatoro Airport,KDQ,AYTO,PG,Kamberatoro Mission,-3.600556,141.051667,small_airport
Tep Tep Airport,TEP,AYTP,PG,Teptep,-5.9553,146.5595,small_airport
Tarabo Airport,TBQ,AYTR,PG,Tarabo,-6.46666666667,145.532222222,small_airport
Tsewi Airport,TSW,AYTS,PG,Tsewi,-7.0695,146.1272,small_airport
Tarakbits Airport,TRJ,AYTT,PG,Tarakbits,-5.614,141.0421,small_airport
Tufi Airport,TFI,AYTU,PG,Tufi,-9.07595443726,149.319839478,small_airport
Timbunke Airport,TBE,AYTV,PG,Timbunke,-4.196633,143.519222,small_airport
Tawa Airport,TWY,AYTW,PG,Tawa,-7.4463,146.1067,small_airport
Terapo Airport,TEO,AYTY,PG,Terapo Mission,-8.16972222222,146.194444444,small_airport
Tekadu Airport,TKB,AYTZ,PG,Tekadu,-7.6808,146.5503,small_airport
Umba Airport,UMC,AYUC,PG,Umba,-7.0214,145.966,small_airport
Uroubi Airport,URU,AYUE,PG,Uroubi,-9.5162,148.5591,small_airport
Buin Airport,UBI,AYUI,PG,Buin,-6.72916666667,155.683333333,small_airport
Aumo Airport,AUV,AYUM,PG,Aumo,-5.731111111110001,148.445277778,small_airport
Gulgubip Airport,GLP,AYUP,PG,Gulgubip,-5.2808,141.5411,small_airport
Upiara Airport,UPR,AYUR,PG,Upiara,-8.5411,142.6503,small_airport
Uvol Airport,UVO,AYUZ,PG,Uvol,-6.0178,150.9557,small_airport
Talasea Airport,TLW,AYVL,PG,Talasea,-5.2726,150.0089,small_airport
Torembi Airport,TCJ,AYVM,PG,Torembi,-4.0165,143.1329,small_airport
Vanimo Airport,VAI,AYVN,PG,Vanimo,-2.6926,141.3028,medium_airport
Tonu Airport,TON,AYVO,PG,Tonu,-6.6552,155.4326,small_airport
Wuvulu Island Airport,WUV,AYVW,PG,Wuvulu Island,-1.73611111111,142.836666667,small_airport
Wabo Airport,WAO,AYWB,PG,Wabo,-6.98944444444,145.075111111,small_airport
Wantoat Airport,WTT,AYWC,PG,Wantoat,-6.1325,146.467777778,small_airport
Wapenamanda Airport,WBM,AYWD,PG,Wapenamanda,-5.635293,143.892231,medium_airport
Wawoi Falls Airport,WAJ,AYWF,PG,Wavoi Falls,-6.9523,142.6557,small_airport
Wanigela Airport,AGL,AYWG,PG,Wanigela,-9.3375,149.155556,small_airport
Wanuma Airport,WNU,AYWH,PG,Wanuma,-4.8961,145.3213,small_airport
Wapolu Airport,WBC,AYWJ,PG,Wapolu,-9.3376,150.5093,small_airport
Wewak International Airport,WWK,AYWK,PG,Wewak,-3.58383011818,143.669006348,medium_airport
Wonenara Airport,WOA,AYWO,PG,Wonenara,-6.796861111110001,145.891944444,small_airport
Wakunai Airport,WKN,AYWQ,PG,Wakunai,-5.8603,155.2223,small_airport
Wasu Airport,WSU,AYWS,PG,Wasu,-5.96170944919,147.19822526,small_airport
Woitape Airport,WTP,AYWT,PG,Fatima Mission,-8.545833,147.2525,small_airport
Wau Airport,WUG,AYWU,PG,Wau,-7.345556,146.718611,small_airport
Yeva Airport,YVD,AYXE,PG,Yeva,-7.548,146.188,small_airport
Sim Airport,SMJ,AYXI,PG,Sim,-7.75,146.9273,small_airport
Tol Airport,TLO,AYXO,PG,Tol,-4.98083019257,152.009994507,small_airport
Wipim Airport,WPM,AYXP,PG,Wipim,-8.78822,142.882004,small_airport
Weam Airport,WEP,AYXW,PG,Weam,-8.6184,141.1381,small_airport
Yalumet Airport,KYX,AYYE,PG,Yalumet,-6.09,147.0117,small_airport
Tinboli Airport,TCK,AYYL,PG,Tinboli,-4.0949,143.3838,small_airport
Yasuru Airport,KSX,AYYR,PG,Yasuru,-6.6015,146.1813,small_airport
Zenag Airport,ZEN,AYZA,PG,Zenag,-6.9522222222200005,146.61625,small_airport
Silur Airport,SWR,AYZI,PG,Silur Mission,-4.52988888889,153.054444444,small_airport
Sissano Airport,SIZ,AYZN,PG,Sissano,-2.99944444444,142.0445,small_airport
Ossima Airport,OSG,AYZS,PG,Ossima,-2.91555555556,141.297305556,small_airport
Aasiaat Airport,JEG,BGAA,GL,Aasiaat,68.721802,-52.784698,medium_airport
Narsarsuaq Airport,UAK,BGBW,GL,Narsarsuaq,61.1605,-45.425999,medium_airport
Neerlerit Inaat Airport,CNP,BGCO,GL,Neerlerit Inaat,70.743103,-22.650499,small_airport
Nuuk Airport,GOH,BGGH,GL,Nuuk,64.191066,-51.67914,medium_airport
Ilulissat Airport,JAV,BGJN,GL,Ilulissat,69.243202,-51.057098,medium_airport
Kulusuk Airport,KUS,BGKK,GL,Kulusuk,65.573601,-37.1236,medium_airport
Maniitsoq Airport,JSU,BGMQ,GL,Maniitsoq,65.412498,-52.9394,small_airport
Paamiut Airport,JFR,BGPT,GL,Paamiut,62.014736,-49.670937,small_airport
Qaanaaq Airport,NAQ,BGQQ,GL,Qaanaaq,77.488602,-69.388702,small_airport
Kangerlussuaq Airport,SFJ,BGSF,GL,Kangerlussuaq,67.010446,-50.715294,medium_airport
Sisimiut Airport,JHS,BGSS,GL,Sisimiut,66.951302,-53.729301,medium_airport
Pituffik Space Base,THU,BGTL,GL,Pituffik,76.531197,-68.703201,medium_airport
Upernavik Airport,JUV,BGUK,GL,Upernavik,72.790199,-56.1306,small_airport
Qaarsut Airport,JQA,BGUQ,GL,Uummannaq,70.7342,-52.696201,small_airport
Akureyri Airport,AEY,BIAR,IS,Akureyri,65.656573,-18.072018,medium_airport
Bildudalur Airport,BIU,BIBD,IS,Bildudalur,65.641296,-23.5462,small_airport
Borgarfjörður eystri Airport,BGJ,BIBF,IS,Borgarfjörður eystri,65.516769,-13.81578,small_airport
Bakkafjörður Airport,BJD,BIBK,IS,Bakkafjörður,66.02189636230469,-14.824399948120115,small_airport
Blönduós Airport,BLO,BIBL,IS,Blönduós,65.644997,-20.2875,small_airport
Breiðdalsvík Airport,BXV,BIBV,IS,Breiðdalsvík,64.790037,-14.043927,small_airport
Djúpivogur Airport,DJU,BIDV,IS,Djúpivogur,64.642372,-14.277297,small_airport
Egilsstaðir Airport,EGS,BIEG,IS,Egilsstaðir,65.2833023071289,-14.401399612426758,medium_airport
Fáskrúðsfjörður Airport,FAS,BIFF,IS,Fáskrúðsfjörður,64.931456,-14.047957,small_airport
Fagurhólsmýri Airport,FAG,BIFM,IS,Fagurhólsmýri,63.874699,-16.6411,small_airport
Grundarfjörður Airport,GUU,BIGF,IS,Grundarfjörður,64.991402,-23.224701,small_airport
Gjögur Airport,GJR,BIGJ,IS,Gjögur,65.9953,-21.3269,small_airport
Grímsey Airport,GRY,BIGR,IS,Grímsey,66.5458,-18.0173,small_airport
